claim_id,state,district,anomaly_type,severity,description,evidence
FRA-10018,Odisha,Keonjhar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.6 ha | Recorded: 2.78 ha | Difference: 7.82 ha (73.8%)
FRA-10051,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.47 ha | Recorded: 2.46 ha | Difference: 7.01 ha (74.0%)
FRA-10068,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.13 ha | Recorded: 2.05 ha | Difference: 8.08 ha (79.8%)
FRA-10126,Rajasthan,Pratapgarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.61 ha | Recorded: 1.89 ha | Difference: 5.72 ha (75.2%)
FRA-10176,Chhattisgarh,Bastar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.35 ha | Recorded: 1.93 ha | Difference: 8.42 ha (81.4%)
FRA-10185,Odisha,Koraput,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.23 ha | Recorded: 0.57 ha | Difference: 7.66 ha (93.1%)
FRA-10198,Madhya Pradesh,Betul,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.48 ha | Recorded: 1.41 ha | Difference: 4.07 ha (74.3%)
FRA-10251,Chhattisgarh,Surguja,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.47 ha | Recorded: 0.85 ha | Difference: 7.62 ha (90.0%)
FRA-10262,Rajasthan,Pratapgarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.43 ha | Recorded: 0.65 ha | Difference: 6.78 ha (91.3%)
FRA-10286,Maharashtra,Gadchiroli,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.02 ha | Recorded: 2.49 ha | Difference: 6.53 ha (72.4%)
