claim_id,state,district,village,claim_type,claimant_id,latitude,longitude,area_claimed,submission_date,last_updated,decision_date,status
FRA-10000,Rajasthan,Udaipur,Village-217,IFR,CLM-133326,23.745257,74.086735,6.02,2022-07-03,2022-09-17,,PENDING
FRA-10001,Maharashtra,Nandurbar,Village-415,IFR,CLM-106814,19.043084,80.365821,5.37,2022-03-25,2023-03-31,,PENDING
FRA-10002,Odisha,Kandhamal,Village-414,IFR,CLM-145561,23.432461,80.546575,1.2,2023-10-10,2023-12-06,,UNDER_REVIEW
FRA-10003,Madhya Pradesh,Betul,Village-41,IFR,CLM-996865,19.095288,76.61735,1.94,2024-01-21,2024-11-16,2025-01-23,APPROVED
FRA-10004,Chhattisgarh,Kanker,Village-312,IFR,CLM-765822,24.056582,81.100442,3.16,2021-10-28,2022-05-10,2022-11-21,REJECTED
FRA-10005,Rajasthan,Dungarpur,Village-162,IFR,CLM-520651,19.103337,73.401253,5.63,2026-03-31,2026-06-30,2026-05-28,APPROVED
FRA-10006,Maharashtra,Yavatmal,Village-288,CFR,CLM-665158,19.354161,76.082844,7.14,2025-08-06,2026-03-01,2025-11-17,APPROVED
FRA-10007,Chhattisgarh,Korba,Village-82,IFR,CLM-930555,23.52772,74.910516,4.2,2021-07-20,2022-04-11,,PENDING
FRA-10008,Madhya Pradesh,Betul,Village-350,IFR,CLM-663054,17.580367,82.009023,7.78,2025-12-07,2026-04-19,,UNDER_REVIEW
FRA-10009,Odisha,Mayurbhanj,Village-260,IFR,CLM-211579,24.303217,82.524527,5.92,2021-12-11,2021-05-21,,PENDING
FRA-10010,Jharkhand,Latehar,Village-58,IFR,CLM-480612,21.692612,79.107571,7.65,2021-10-23,2022-07-31,2021-11-22,APPROVED
FRA-10011,Madhya Pradesh,Dindori,Village-66,CFR,CLM-791798,22.824215,82.57293,4.14,2020-12-16,2021-12-30,,UNDER_REVIEW
FRA-10012,Maharashtra,Nashik,Village-344,IFR,CLM-781446,22.490643,77.987404,4.54,2022-05-17,2023-09-09,2022-09-26,APPROVED
FRA-10013,Jharkhand,West Singhbhum,Village-324,IFR,CLM-161733,19.041522,73.887414,4.91,2023-10-16,2023-10-31,,PENDING
FRA-10014,Madhya Pradesh,Balaghat,Village-125,IFR,CLM-922733,23.676682,80.202646,4.54,2025-06-11,2025-10-03,,PENDING
FRA-10015,Maharashtra,Gadchiroli,Village-32,IFR,CLM-522179,22.074188,81.077247,4.0,2024-09-30,2025-05-03,2025-10-09,APPROVED
FRA-10016,Maharashtra,Nandurbar,Village-282,IFR,CLM-202664,20.601915,83.766864,2.59,2024-09-24,2024-12-31,2024-12-01,APPROVED
FRA-10017,Jharkhand,Ranchi,Village-85,CFRR,CLM-497382,23.552553,84.280536,3.55,2022-08-26,2022-11-24,,UNDER_REVIEW
FRA-10018,Odisha,Keonjhar,Village-377,IFR,CLM-668532,19.023906,73.731041,10.6,2026-03-26,2026-06-30,2026-06-30,APPROVED
FRA-10019,Madhya Pradesh,Mandla,Village-442,IFR,CLM-346629,17.979649,73.849511,0.93,2025-12-15,2026-03-10,2026-04-19,APPROVED
FRA-10020,Jharkhand,Gumla,Village-343,IFR,CLM-850981,19.714589,76.259571,5.43,2020-12-01,2021-07-08,,PENDING
FRA-10021,Odisha,Keonjhar,Village-52,IFR,CLM-176819,20.707999,85.480681,7.47,2025-02-15,2025-07-31,2025-03-21,APPROVED
FRA-10022,Odisha,Koraput,Village-414,CFRR,CLM-785743,22.424779,80.645972,2.64,2022-09-27,2023-04-09,2023-08-01,REJECTED
FRA-10023,Gujarat,Bharuch,Village-108,IFR,CLM-852470,18.588135,76.521953,1.37,2021-07-04,2021-11-21,2022-05-13,APPROVED
FRA-10024,Rajasthan,Banswara,Village-67,IFR,CLM-768061,17.808607,77.169457,5.26,2020-07-27,2020-09-17,,PENDING
FRA-10025,Rajasthan,Pratapgarh,Village-299,IFR,CLM-679364,21.319132,83.432438,1.06,2020-02-09,2020-04-11,2020-05-25,APPROVED
FRA-10026,Maharashtra,Gadchiroli,Village-453,IFR,CLM-526117,18.219555,82.751453,3.18,2020-06-12,2021-09-20,2021-06-18,REJECTED
FRA-10027,Gujarat,Narmada,Village-416,CFRR,CLM-360222,23.115646,83.8008,1.85,2024-08-15,2024-09-01,2025-04-12,REJECTED
FRA-10028,Gujarat,Dangs,Village-447,IFR,CLM-338651,19.947609,83.256705,2.0,2025-04-11,2025-08-07,,PENDING
FRA-10029,Rajasthan,Dungarpur,Village-432,IFR,CLM-662262,21.06584,81.493976,6.3,2020-10-11,2022-02-23,,PENDING
FRA-10030,Madhya Pradesh,Balaghat,Village-311,IFR,CLM-636265,22.599815,76.920966,1.31,2022-12-23,2023-01-16,,UNDER_REVIEW
FRA-10031,Jharkhand,Gumla,Village-101,IFR,CLM-481913,24.081842,82.212971,7.44,2020-01-07,2020-10-04,2021-02-08,APPROVED
FRA-10032,Rajasthan,Banswara,Village-152,IFR,CLM-681343,20.35875,78.030005,7.25,2021-05-25,2022-06-02,2022-05-31,APPROVED
FRA-10033,Chhattisgarh,Surguja,Village-403,IFR,CLM-708158,19.627125,75.627284,3.55,2026-05-20,2026-06-30,,UNDER_REVIEW
FRA-10034,Chhattisgarh,Surguja,Village-488,IFR,CLM-887625,21.834826,74.16734,1.14,2021-11-26,2022-11-03,2022-11-15,APPROVED
FRA-10035,Odisha,Koraput,Village-454,CFR,CLM-760356,22.879425,78.692702,7.88,2020-07-08,2020-11-15,,PENDING
FRA-10036,Chhattisgarh,Surguja,Village-412,IFR,CLM-829716,22.948943,75.735514,6.13,2020-01-23,2021-04-29,2020-04-16,APPROVED
FRA-10037,Jharkhand,Gumla,Village-387,CFRR,CLM-564071,21.412477,76.966224,3.98,2021-06-30,2022-08-19,,APPROVED
FRA-10038,Chhattisgarh,Dantewada,Village-226,CFR,CLM-181247,20.892179,75.990573,2.35,2022-11-27,2023-12-21,2023-09-19,APPROVED
FRA-10039,Odisha,Kandhamal,Village-170,IFR,CLM-668969,18.99767,78.185849,2.23,2021-07-20,2021-10-10,2022-08-15,APPROVED
FRA-10040,Madhya Pradesh,Dindori,Village-386,CFR,CLM-508930,17.541273,77.396985,7.1,2020-03-21,2021-06-07,2020-12-20,APPROVED
FRA-10041,Rajasthan,Sirohi,Village-208,CFR,CLM-859359,19.852907,81.489274,2.55,2025-06-22,2025-10-17,2026-02-06,REJECTED
FRA-10042,Maharashtra,Yavatmal,Village-26,IFR,CLM-372793,18.449896,78.771231,0.7,2026-04-30,2026-06-30,,UNDER_REVIEW
FRA-10043,Maharashtra,Amravati,Village-384,IFR,CLM-665621,23.344376,78.878835,6.14,2024-04-01,2024-08-26,2024-09-07,APPROVED
FRA-10044,Maharashtra,Gadchiroli,Village-343,CFR,CLM-219946,18.566676,74.577762,2.35,2020-05-07,2021-09-10,2021-04-20,APPROVED
FRA-10045,Rajasthan,Banswara,Village-160,CFR,CLM-703766,18.256691,73.32098,6.64,2021-04-14,2022-05-22,,PENDING
FRA-10046,Rajasthan,Dungarpur,Village-290,IFR,CLM-920652,21.702881,74.513188,5.73,2022-09-21,2022-11-17,2023-10-06,APPROVED
FRA-10047,Jharkhand,West Singhbhum,Village-326,IFR,CLM-968962,18.238772,85.009845,6.87,2023-10-29,2023-11-09,,PENDING
FRA-10048,Chhattisgarh,Dantewada,Village-375,CFR,CLM-721254,20.884483,78.444681,6.56,2023-01-11,2023-11-27,,UNDER_REVIEW
FRA-10049,Gujarat,Narmada,Village-254,CFR,CLM-992288,22.177319,77.204958,6.13,2021-04-08,2025-05-29,,PENDING
FRA-10050,Chhattisgarh,Dantewada,Village-98,IFR,CLM-189771,21.390537,79.457841,4.97,2023-02-19,2024-05-19,,PENDING
FRA-10051,Chhattisgarh,Korba,Village-340,CFR,CLM-709805,20.330808,76.041315,9.47,2025-07-03,2026-02-22,2025-11-23,APPROVED
FRA-10052,Jharkhand,Latehar,Village-370,IFR,CLM-301939,19.646361,75.881726,3.14,2026-03-04,2026-06-30,,UNDER_REVIEW
FRA-10053,Rajasthan,Sirohi,Village-145,CFRR,CLM-205409,24.336249,79.557961,6.04,2022-02-23,2022-06-18,2023-01-20,APPROVED
FRA-10054,Maharashtra,Nashik,Village-65,IFR,CLM-768854,21.373513,81.717717,2.56,2025-12-27,2026-03-06,,PENDING
FRA-10055,Gujarat,Dangs,Village-252,IFR,CLM-177680,18.29861,73.816793,1.88,2024-12-09,2025-06-06,2025-09-09,APPROVED
FRA-10056,Maharashtra,Yavatmal,Village-398,CFRR,CLM-647957,21.672888,80.730229,4.69,2022-10-13,2022-12-17,,PENDING
FRA-10057,Chhattisgarh,Kanker,Village-107,CFR,CLM-755900,22.680625,84.844878,5.16,2023-06-04,2024-03-26,,UNDER_REVIEW
FRA-10058,Rajasthan,Udaipur,Village-119,IFR,CLM-402099,21.656678,76.640741,0.52,2020-11-03,2021-01-27,,PENDING
FRA-10059,Madhya Pradesh,Dindori,Village-37,CFRR,CLM-162535,23.85888,83.332889,1.36,2022-03-21,2022-10-29,2022-07-05,REJECTED
FRA-10060,Jharkhand,Latehar,Village-42,CFRR,CLM-727086,21.003305,79.17244,2.78,2025-04-03,2026-03-26,2025-09-19,APPROVED
FRA-10061,Rajasthan,Banswara,Village-392,IFR,CLM-804938,21.609861,73.259318,5.56,2022-07-26,2023-12-05,,PENDING
FRA-10062,Madhya Pradesh,Dindori,Village-210,IFR,CLM-449499,24.283387,78.87513,7.98,2023-02-13,2023-05-21,2023-11-21,APPROVED
FRA-10063,Madhya Pradesh,Dindori,Village-130,IFR,CLM-438977,17.75688,74.100747,7.59,2023-03-26,2024-03-04,2024-01-31,APPROVED
FRA-10064,Gujarat,Bharuch,Village-321,CFR,CLM-563513,20.032456,82.455539,3.6,2026-01-31,2026-06-30,,PENDING
FRA-10065,Odisha,Sundargarh,Village-8,IFR,CLM-679077,22.46848,76.884377,0.72,2025-06-08,2025-08-14,2025-11-07,APPROVED
FRA-10066,Maharashtra,Gadchiroli,Village-248,IFR,CLM-595158,22.437881,78.193629,7.49,2021-09-22,2022-06-09,,PENDING
FRA-10067,Jharkhand,Gumla,Village-213,IFR,CLM-456385,19.433732,82.875077,7.09,2025-09-12,2026-06-30,,UNDER_REVIEW
FRA-10068,Odisha,Kandhamal,Village-194,CFR,CLM-577463,19.82708,82.535908,10.13,2025-06-28,2026-06-30,2026-01-20,APPROVED
FRA-10069,Rajasthan,Dungarpur,Village-340,IFR,CLM-930884,23.894011,77.765389,2.89,2024-08-09,2024-09-05,,PENDING
FRA-10070,Madhya Pradesh,Dindori,Village-446,IFR,CLM-786587,17.607433,74.801943,6.84,2021-02-15,,2021-11-05,APPROVED
FRA-10071,Chhattisgarh,Kanker,Village-368,IFR,CLM-896290,20.160066,76.958264,2.96,2020-11-24,2022-02-08,2021-09-23,APPROVED
FRA-10072,Madhya Pradesh,Chhindwara,Village-52,IFR,CLM-565230,22.822588,81.798635,6.1,2023-03-23,2023-07-22,2023-06-11,APPROVED
FRA-10073,Madhya Pradesh,Mandla,Village-93,IFR,CLM-278240,20.384362,81.522505,3.73,2024-01-08,2024-07-22,,PENDING
FRA-10074,Jharkhand,West Singhbhum,Village-412,IFR,CLM-587853,19.287287,73.117468,3.96,2021-08-09,2021-12-10,,PENDING
FRA-10075,Jharkhand,Gumla,Village-197,IFR,CLM-994787,20.697851,76.776521,7.72,2023-05-10,2024-04-06,,UNDER_REVIEW
FRA-10076,Maharashtra,Amravati,Village-399,IFR,CLM-880841,17.556686,83.813342,7.83,2023-04-24,2023-05-10,2023-10-11,APPROVED
FRA-10077,Rajasthan,Pratapgarh,Village-387,CFR,CLM-855948,18.830924,76.132835,6.51,2022-07-31,2023-06-11,,UNDER_REVIEW
FRA-10078,Madhya Pradesh,Mandla,Village-68,IFR,CLM-924718,22.732366,75.195501,1.49,2024-02-03,2025-02-16,2024-08-18,APPROVED
FRA-10079,Jharkhand,Simdega,Village-494,CFR,CLM-178957,19.871007,74.439621,6.55,2025-05-27,2026-06-30,,PENDING
FRA-10080,Gujarat,Tapi,Village-384,CFRR,CLM-805000,18.365121,77.607321,6.43,2024-02-07,2024-03-29,2024-12-07,REJECTED
FRA-10081,Chhattisgarh,Kanker,Village-33,IFR,CLM-766269,23.906791,75.76709,7.13,2020-04-12,2021-02-28,,PENDING
FRA-10082,Rajasthan,Pratapgarh,Village-199,IFR,CLM-575679,19.1436,79.719333,7.97,2020-06-01,2020-11-08,,PENDING
FRA-10083,Rajasthan,Sirohi,Village-144,IFR,CLM-134305,21.809565,84.738163,3.61,2021-09-24,2022-12-26,,APPROVED
FRA-10084,Chhattisgarh,Surguja,Village-98,CFRR,CLM-228093,20.010717,77.976746,3.26,2021-02-10,2022-02-01,2022-02-05,REJECTED
FRA-10085,Rajasthan,Dungarpur,Village-425,IFR,CLM-902325,23.008847,75.56507,6.4,2020-03-28,2020-04-27,2020-06-30,APPROVED
FRA-10086,Maharashtra,Nandurbar,Village-90,IFR,CLM-215266,18.409945,76.133177,6.94,2020-01-12,2020-06-06,,PENDING
FRA-10087,Madhya Pradesh,Balaghat,Village-382,CFR,CLM-166645,22.692026,79.576069,1.81,2023-08-19,2023-09-01,,PENDING
FRA-10088,Gujarat,Valsad,Village-267,IFR,CLM-416282,22.982589,83.837261,7.59,2025-08-25,2025-12-21,,PENDING
FRA-10089,Madhya Pradesh,Mandla,Village-312,CFRR,CLM-255539,18.014435,74.009881,1.31,2024-10-12,2025-10-03,2025-06-26,REJECTED
FRA-10090,Odisha,Sundargarh,Village-407,IFR,CLM-835869,21.038858,78.377492,7.96,2023-08-24,2024-03-11,2024-05-12,APPROVED
FRA-10091,Rajasthan,Sirohi,Village-49,CFR,CLM-427730,20.674492,78.199871,2.21,2025-01-23,2026-04-27,,PENDING
FRA-10092,Rajasthan,Banswara,Village-191,IFR,CLM-951201,20.523136,82.307362,1.18,2025-04-26,2025-06-04,,PENDING
FRA-10093,Madhya Pradesh,Chhindwara,Village-496,CFRR,CLM-401601,23.576645,82.013258,3.15,2021-05-15,2021-12-16,2022-01-16,APPROVED
FRA-10094,Madhya Pradesh,Chhindwara,Village-143,IFR,CLM-701987,21.393858,74.436066,6.85,2025-05-29,,,PENDING
FRA-10095,Gujarat,Bharuch,Village-360,CFRR,CLM-899444,19.372134,75.255201,5.07,2026-03-30,2026-04-17,2026-06-30,REJECTED
FRA-10096,Odisha,Mayurbhanj,Village-111,IFR,CLM-494468,17.7146,82.326397,1.56,2024-06-29,2024-08-08,,PENDING
FRA-10097,Odisha,Koraput,Village-42,IFR,CLM-385320,22.781051,73.622031,1.14,2026-05-13,2026-06-30,2026-06-30,APPROVED
FRA-10098,Chhattisgarh,Surguja,Village-250,IFR,CLM-652530,19.482725,81.481078,4.34,2022-06-01,2023-06-27,2022-08-26,APPROVED
FRA-10099,Maharashtra,Amravati,Village-62,CFRR,CLM-108105,22.849126,76.618089,7.59,2022-04-17,2022-09-23,,PENDING
FRA-10100,Maharashtra,Nandurbar,Village-224,IFR,CLM-119651,20.279498,82.275517,6.75,2025-08-11,2026-05-29,2025-10-16,APPROVED
FRA-10101,Gujarat,Valsad,Village-236,IFR,CLM-972442,18.703112,84.845179,1.36,2024-09-06,2025-02-06,2025-03-21,APPROVED
FRA-10102,Chhattisgarh,Bastar,Village-40,IFR,CLM-635280,19.051004,82.738973,3.47,2025-11-16,2025-12-31,2026-06-07,APPROVED
FRA-10103,Jharkhand,Gumla,Village-336,CFRR,CLM-179013,21.716793,82.502691,1.27,2021-08-27,2021-12-30,2021-12-23,APPROVED
FRA-10104,Chhattisgarh,Surguja,Village-498,CFR,CLM-757685,24.405724,77.040103,7.43,2025-01-12,2025-12-31,2026-01-02,APPROVED
FRA-10105,Chhattisgarh,Bastar,Village-189,IFR,CLM-972097,20.732197,73.470091,0.92,2023-01-30,2023-12-03,2023-08-06,APPROVED
FRA-10106,Rajasthan,Udaipur,Village-334,IFR,CLM-297383,20.648136,83.122699,4.66,2025-03-10,2026-01-06,2025-04-30,APPROVED
FRA-10107,Chhattisgarh,Korba,Village-89,IFR,CLM-141043,22.500209,79.306863,7.24,2021-02-27,2022-04-23,,PENDING
FRA-10108,Chhattisgarh,Korba,Village-405,IFR,CLM-761532,19.86857,80.473573,2.62,2024-03-07,2025-06-24,,PENDING
FRA-10109,Odisha,Mayurbhanj,Village-299,IFR,CLM-795847,23.612958,77.167025,6.89,2022-10-29,2023-11-08,2023-10-02,APPROVED
FRA-10110,Odisha,Keonjhar,Village-425,IFR,CLM-874661,23.192293,81.376455,4.69,2020-12-13,2021-05-25,2021-06-29,APPROVED
FRA-10111,Rajasthan,Pratapgarh,Village-71,IFR,CLM-262471,22.863093,75.400065,7.63,2023-06-19,2023-09-24,,PENDING
FRA-10112,Gujarat,Dangs,Village-84,IFR,CLM-289630,18.417343,77.708998,5.46,2025-11-26,2025-12-20,2026-06-30,APPROVED
FRA-10113,Madhya Pradesh,Betul,Village-495,IFR,CLM-947903,19.138021,75.989606,2.64,2024-12-24,2025-11-06,2025-09-09,APPROVED
FRA-10114,Odisha,Sundargarh,Village-71,CFRR,CLM-362147,23.218239,83.01574,3.36,2023-02-28,2024-04-06,2023-06-20,APPROVED
FRA-10115,Chhattisgarh,Kanker,Village-263,IFR,CLM-254506,18.622186,78.61649,1.44,2025-10-14,2026-06-30,,PENDING
FRA-10116,Maharashtra,Amravati,Village-115,CFR,CLM-129556,20.203163,74.020068,3.47,2024-08-26,2024-09-27,,UNDER_REVIEW
FRA-10117,Gujarat,Valsad,Village-230,CFR,CLM-745239,18.471549,81.819202,6.72,2023-03-21,2024-07-07,,PENDING
FRA-10118,Madhya Pradesh,Balaghat,Village-215,IFR,CLM-769989,19.608058,73.596868,1.33,2025-12-01,2026-06-30,,PENDING
FRA-10119,Madhya Pradesh,Betul,Village-124,IFR,CLM-698384,20.504672,80.68512,2.31,2025-10-11,2026-06-30,,PENDING
FRA-10120,Rajasthan,Udaipur,Village-23,IFR,CLM-766549,17.64234,83.916643,4.3,2025-11-24,2026-06-30,2026-06-30,APPROVED
FRA-10121,Odisha,Mayurbhanj,Village-69,IFR,CLM-146489,21.573323,82.458487,5.43,2022-09-14,2023-09-29,,PENDING
FRA-10122,Odisha,Koraput,Village-151,CFR,CLM-311383,22.933333,78.720995,1.87,2025-05-14,2026-04-07,2026-06-14,APPROVED
FRA-10123,Madhya Pradesh,Balaghat,Village-25,CFRR,CLM-787584,19.502776,83.776732,2.4,2026-02-02,2026-06-30,2026-06-09,APPROVED
FRA-10124,Madhya Pradesh,Balaghat,Village-474,IFR,CLM-936020,20.973423,79.219042,7.67,2024-12-06,2026-03-14,2025-04-10,APPROVED
FRA-10125,Rajasthan,Pratapgarh,Village-309,IFR,CLM-852524,22.126435,76.831198,2.7,2022-01-09,2022-10-20,2022-07-25,APPROVED
