land_record_id,claim_id,recorded_area,land_status,survey_reference
LR-10000,FRA-10000,6.03,FOREST,SUR-22280
LR-10001,FRA-10001,5.27,REVENUE,SUR-65392
LR-10002,FRA-10002,1.1,UNCLASSIFIED,SUR-80284
LR-10003,FRA-10003,1.77,REVENUE,SUR-23238
LR-10004,FRA-10004,3.16,REVENUE,SUR-80010
LR-10005,FRA-10005,5.78,COMMUNITY,SUR-18675
LR-10006,FRA-10006,7.11,COMMUNITY,SUR-86622
LR-10007,FRA-10007,4.26,UNCLASSIFIED,SUR-88172
LR-10008,FRA-10008,8.01,COMMUNITY,SUR-94012
LR-10009,FRA-10009,5.97,COMMUNITY,SUR-93748
LR-10010,FRA-10010,7.94,COMMUNITY,SUR-41385
LR-10011,FRA-10011,3.77,UNCLASSIFIED,SUR-82063
LR-10012,FRA-10012,4.58,COMMUNITY,SUR-67422
LR-10013,FRA-10013,4.59,REVENUE,SUR-18834
LR-10014,FRA-10014,4.58,UNCLASSIFIED,SUR-63354
LR-10015,FRA-10015,4.04,COMMUNITY,SUR-24322
LR-10016,FRA-10016,2.43,FOREST,SUR-95477
LR-10017,FRA-10017,3.45,FOREST,SUR-61173
LR-10018,FRA-10018,2.78,FOREST,SUR-51104
LR-10019,FRA-10019,0.91,UNCLASSIFIED,SUR-25713
LR-10020,FRA-10020,5.35,COMMUNITY,SUR-41285
LR-10021,FRA-10021,7.77,REVENUE,SUR-76307
LR-10022,FRA-10022,2.55,FOREST,SUR-97538
LR-10023,FRA-10023,1.25,COMMUNITY,SUR-36685
LR-10024,FRA-10024,5.39,COMMUNITY,SUR-31178
LR-10025,FRA-10025,1.09,REVENUE,SUR-66333
LR-10026,FRA-10026,3.19,REVENUE,SUR-41029
LR-10027,FRA-10027,1.92,COMMUNITY,SUR-30866
LR-10028,FRA-10028,2.08,REVENUE,SUR-13101
LR-10029,FRA-10029,6.0,COMMUNITY,SUR-13617
LR-10030,FRA-10030,1.26,FOREST,SUR-60488
LR-10031,FRA-10031,7.3,UNCLASSIFIED,SUR-19171
LR-10032,FRA-10032,7.08,REVENUE,SUR-35144
LR-10033,FRA-10033,3.64,COMMUNITY,SUR-70946
LR-10034,FRA-10034,1.11,REVENUE,SUR-98184
LR-10035,FRA-10035,7.81,REVENUE,SUR-60328
LR-10036,FRA-10036,6.23,UNCLASSIFIED,SUR-16582
LR-10037,FRA-10037,3.9,UNCLASSIFIED,SUR-81810
LR-10038,FRA-10038,2.34,COMMUNITY,SUR-40735
LR-10039,FRA-10039,2.24,UNCLASSIFIED,SUR-64496
LR-10040,FRA-10040,7.0,UNCLASSIFIED,SUR-80545
LR-10041,FRA-10041,2.48,REVENUE,SUR-71261
LR-10042,FRA-10042,0.7,UNCLASSIFIED,SUR-52906
LR-10043,FRA-10043,6.29,FOREST,SUR-55870
LR-10044,FRA-10044,2.41,REVENUE,SUR-70952
LR-10045,FRA-10045,6.94,UNCLASSIFIED,SUR-61990
LR-10046,FRA-10046,5.42,FOREST,SUR-55508
LR-10047,FRA-10047,7.03,UNCLASSIFIED,SUR-30052
LR-10048,FRA-10048,6.43,COMMUNITY,SUR-52245
LR-10049,FRA-10049,6.04,COMMUNITY,SUR-33834
LR-10050,FRA-10050,5.13,REVENUE,SUR-63271
LR-10051,FRA-10051,2.46,COMMUNITY,SUR-72031
LR-10052,FRA-10052,3.04,COMMUNITY,SUR-25670
LR-10053,FRA-10053,5.69,REVENUE,SUR-48829
LR-10054,FRA-10054,2.68,UNCLASSIFIED,SUR-23446
LR-10055,FRA-10055,1.71,FOREST,SUR-29887
LR-10056,FRA-10056,4.51,UNCLASSIFIED,SUR-69049
LR-10057,FRA-10057,5.12,REVENUE,SUR-44687
LR-10058,FRA-10058,0.5,COMMUNITY,SUR-69510
LR-10059,FRA-10059,1.27,REVENUE,SUR-50319
LR-10060,FRA-10060,2.67,FOREST,SUR-66626
LR-10061,FRA-10061,5.72,COMMUNITY,SUR-85529
LR-10062,FRA-10062,7.7,COMMUNITY,SUR-97835
LR-10063,FRA-10063,7.76,FOREST,SUR-62976
LR-10064,FRA-10064,3.34,FOREST,SUR-36680
LR-10065,FRA-10065,0.72,UNCLASSIFIED,SUR-22217
LR-10066,FRA-10066,7.07,REVENUE,SUR-69871
LR-10067,FRA-10067,7.3,COMMUNITY,SUR-10336
LR-10068,FRA-10068,2.05,COMMUNITY,SUR-34727
