S.No.,State,No. of Claims Received - Individual,No. of Claims Received - Community,No. of Titles Distributed - Individual,No. of Titles Distributed - Community,Pending Claims - Individual,Pending Claims - Community,Extent of Forest Land - Individual,Extent of Forest Land - Community
1,Andhra Pradesh,177446,4062,96675,1374,7302,230,239554,453384
2,Assam,148965,6046,57325,1477,91640,4569,NA,NA
3,Bihar,8022,0,121,0,3686,0,NA,NA
4,Chhattisgarh,858682,31558,401251,21967,3219,2213,843100.69,2038146.15
5,Goa,9758,378,17,8,9694,370,76.6,10.25
6,Gujarat,182869,7187,83699,3516,36710,1362,129571.61,1161351.49
7,Himachal Pradesh,2071,170,129,7,1942,163,5.96,4670.56
8,Jharkhand,107032,3724,59866,2104,20796,-117*,153395.86,103758.97
9,Karnataka,275446,5903,14667,1406,84239,81,20813.51,28155.75
10,Kerala,36140,1395,24599,0,3652,1395,33018.12,NA
11,Madhya Pradesh,582927,42048,226313,27962,7846,2020,812345.19,1465013.16
12,Maharashtra,362679,12037,165032,7084,152459,4616,392928.73,2736660.68
13,Odisha,617935,13826,430212,6564,41973,6263,642542.12,235205.91
14,Rajashtan,74414,1441,38007,103,651,795,57730.26,2993.64
15,Tamil Nadu,32983,1005,6111,276,15238,621,8607.26,0
16,Telangana,183252,3427,93639,721,7538,1024,300284,454055
17,Tripura,200358,277,127931,55,4039,0,460049.16,91.16
18,Uttar Pradesh,92520,1124,17712,843,144,0,120802.06,139656.06
19,Uttarakhand,3574,3091,144,1,10,0,0,0
20,West Bengal,131962,10119,44444,686,185,179,21014.27,572.03
